completed_articles,iterations,articles_with_error,true_positive,false_positive,true_negative,false_negative,accuracy,precision,recall,f1_score,specificity,mcc,balanced_accuracy,miss_rate,f2_score,wss,wss@95,npv,g_mean,general_performance_score,ProjectID,ProjectName
292,1,0,21,4,233,34,0.8699,0.84,0.3818,0.525,0.9831,0.755,0.6825,0.6182,0.4286,0.2962,0.8644,0.8727,0.6127,0.55,0cdc1f5b-5452-4f7b-ac04-88f7b7862bff,Std-U0-Cy-Ry-EXn-INn-A-SH0-EXPn-MOBILEMDE-FINAL
292,1,0,31,17,220,24,0.8596,0.6458,0.5636,0.6019,0.9283,0.7595,0.746,0.4364,0.5784,0.3993,0.7856,0.9016,0.7233,0.7014,f7c69ebb-3d6e-4441-a5a3-62595966a43f,Std-U0-Cy-Rn-EXy-INn-A-SH0-EXPn-MOBILEMDE-FINAL
205,1,0,52,14,84,55,0.6634,0.7879,0.486,0.6012,0.8571,0.6834,0.6716,0.514,0.5263,0.164,0.628,0.6043,0.6454,0.6203,6e636601-d04d-4d66-a8a6-b93c8b89132d,Std-U0-Cy-Ry-EXn-INn-A-SH0-EXPn-MPM4CPS-FINAL
205,1,0,43,4,94,64,0.6683,0.9149,0.4019,0.5584,0.9592,0.7145,0.6805,0.5981,0.4526,0.1726,0.7207,0.5949,0.6209,0.5664,721974a9-a844-4ff4-814f-6a6604f9c66b,Std-U0-Cy-Rn-EXy-INn-A-SH0-EXPn-MPM4CPS-FINAL
205,1,0,36,4,94,71,0.6341,0.9,0.3364,0.4898,0.9592,0.6863,0.6478,0.6636,0.3846,0.1413,0.7549,0.5697,0.5681,0.4982,a9eb12c5-251e-4a14-9685-58949bedc924,Std-U0-Cy-Rn-EXn-INy-AN-SH0-EXPn-MPM4CPS-FINAL
205,1,0,28,2,96,79,0.6049,0.9333,0.2617,0.4088,0.9796,0.6705,0.6206,0.7383,0.3057,0.1153,0.8037,0.5486,0.5063,0.413,b733ac6a-7b73-45cc-b9a9-5b20feaafe33,Std-U0-Cy-Rn-EXn-INy-AL-SH0-EXPn-MPM4CPS-FINAL
875,1,0,34,66,752,23,0.8983,0.34,0.5965,0.4331,0.9193,0.7,0.7579,0.4035,0.5183,0.4822,0.8357,0.9703,0.7405,0.7235,09495e01-2072-4388-8309-e34460ea9e22,Std-U0-Cy-Ry-EXn-INn-A-SH0-EXPn-UPDATECOLLABMDE-FINAL
875,1,0,16,19,799,41,0.9314,0.4571,0.2807,0.3478,0.9768,0.6621,0.6287,0.7193,0.3042,0.2407,0.91,0.9512,0.5236,0.4361,ccc3d5c4-2cbb-4656-88b4-0f13929b9b8d,Std-U0-Cy-Rn-EXy-INn-A-SH0-EXPn-UPDATECOLLABMDE-FINAL
1088,1,0,79,84,911,14,0.9099,0.4847,0.8495,0.6172,0.9156,0.7997,0.8825,0.1505,0.7383,0.6996,0.8002,0.9849,0.8819,0.8813,f9f09ab9-da6a-4382-b543-47db92465ad5,Std-U0-Cy-Rn-EXn-INn-A-SH1-EXPn-RL4SE-FINAL
1087,1,0,77,95,900,15,0.8988,0.4477,0.837,0.5833,0.9045,0.7827,0.8707,0.163,0.713,0.6787,0.7918,0.9836,0.8701,0.8694,445b0f13-f9d0-4533-abb0-c8dafc5e4d91,Std-U0-Cy-Rn-EXn-INn-A-SH2-EXPn-RL4SE-FINAL
1086,1,0,80,86,909,11,0.9107,0.4819,0.8791,0.6226,0.9136,0.8052,0.8963,0.1209,0.7547,0.7263,0.7971,0.988,0.8962,0.896,83fa5516-1b23-4b9f-ab38-e794cfb9c430,Std-U0-Cy-Rn-EXn-INn-A-SH3-EXPn-RL4SE-FINAL
2682,1,0,104,209,2324,45,0.9053,0.3323,0.698,0.4502,0.9175,0.7196,0.8077,0.302,0.5721,0.5813,0.8333,0.981,0.8002,0.7928,7ec56f7c-cdd3-40b1-8ad7-abd49df63604,Std-U0-Cy-Rn-EXn-INn-A-SH1-EXPn-LC-FINAL
2681,1,0,103,251,2282,45,0.8896,0.291,0.6959,0.4104,0.9009,0.7013,0.7984,0.3041,0.5444,0.5639,0.818,0.9807,0.7918,0.7853,295c2e7c-38a1-4f83-a283-831d6429d374,Std-U0-Cy-Rn-EXn-INn-A-SH2-EXPn-LC-FINAL
2680,1,0,108,221,2312,39,0.903,0.3283,0.7347,0.4538,0.9128,0.7246,0.8237,0.2653,0.5889,0.6119,0.8272,0.9834,0.8189,0.8141,f20bbde1-be8a-48cb-b4d3-0da989b4f76a,Std-U0-Cy-Rn-EXn-INn-A-SH3-EXPn-LC-FINAL
291,1,0,14,1,236,40,0.8591,0.9333,0.2593,0.4058,0.9958,0.7242,0.6275,0.7407,0.303,0.2077,0.8985,0.8551,0.5081,0.4114,965a8458-aedf-4c08-8cb7-9ccd1d956edb,Std-U0-Cy-Rn-EXn-INn-A-SH1-EXPn-MOBILEMDE-FINAL
290,1,0,30,6,231,23,0.9,0.8333,0.566,0.6742,0.9747,0.8169,0.7704,0.434,0.6048,0.4419,0.8259,0.9094,0.7428,0.7162,ea39162e-0c96-414a-8f45-5701147573ef,Std-U0-Cy-Rn-EXn-INn-A-SH2-EXPn-MOBILEMDE-FINAL
289,1,0,24,9,228,28,0.872,0.7273,0.4615,0.5647,0.962,0.7558,0.7118,0.5385,0.4979,0.3474,0.8358,0.8906,0.6663,0.6238,4bf75ca6-dc85-4246-af1f-808452b6a752,Std-U0-Cy-Rn-EXn-INn-A-SH3-EXPn-MOBILEMDE-FINAL
204,1,0,56,19,79,50,0.6618,0.7467,0.5283,0.6188,0.8061,0.6733,0.6672,0.4717,0.5611,0.1607,0.5824,0.6124,0.6526,0.6383,3fea3469-8a0a-4879-879e-8db09c0100a9,Std-U0-Cy-Rn-EXn-INn-A-SH1-EXPn-MPM4CPS-FINAL
203,1,0,68,22,76,37,0.7094,0.7556,0.6476,0.6974,0.7755,0.7128,0.7116,0.3524,0.6667,0.2043,0.5067,0.6726,0.7087,0.7058,7fcdc8ab-a680-4243-b6e6-27f4454dc805,Std-U0-Cy-Rn-EXn-INn-A-SH2-EXPn-MPM4CPS-FINAL
202,1,0,51,17,81,53,0.6535,0.75,0.4904,0.593,0.8265,0.6676,0.6585,0.5096,0.5269,0.1538,0.6134,0.6045,0.6366,0.6156,7372d264-dfef-41b5-afb2-b81d1265ebbc,Std-U0-Cy-Rn-EXn-INn-A-SH3-EXPn-MPM4CPS-FINAL
874,1,0,44,114,704,12,0.8558,0.2785,0.7857,0.4112,0.8606,0.7056,0.8232,0.2143,0.5759,0.6049,0.7692,0.9832,0.8223,0.8215,6c817238-97b8-4369-80b1-a75f26a8121b,Std-U0-Cy-Rn-EXn-INn-A-SH1-EXPn-UPDATECOLLABMDE-FINAL
873,1,0,39,86,732,16,0.8832,0.312,0.7091,0.4333,0.8949,0.7095,0.802,0.2909,0.5652,0.5659,0.8068,0.9786,0.7966,0.7912,ed9f756c-1a0f-4ba1-859a-93ce06aa2638,Std-U0-Cy-Rn-EXn-INn-A-SH2-EXPn-UPDATECOLLABMDE-FINAL
872,1,0,42,122,696,12,0.8463,0.2561,0.7778,0.3853,0.8509,0.6939,0.8143,0.2222,0.5526,0.5897,0.7619,0.9831,0.8135,0.8127,79430b8a-948f-4e69-ac07-071aa340cea2,Std-U0-Cy-Rn-EXn-INn-A-SH3-EXPn-UPDATECOLLABMDE-FINAL
